StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q16,Q17,Q18,Q19_1,Q20,Q21,Q22,Q23
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you follow a Skincare Routine?,"Thinking about a skincare product you use regularly, where did you first hear about it?","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - TikTok","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - Instagram","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - Other social media (Facebook, YouTube, X, etc.)","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - Traditional media (TV, radio, newspapers, magazines)","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - Friends or family recommendation","How frequently do you discover new skincare brands through the following channels?

(Please rate EACH channel from 1 to 5) - In-store discovery","How often do you engage with skincare-related content (e.g., product reviews, routines, tutorials, influencer recommendations) on social media?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","Based on the information below, which skincare brand would you be more likely to choose?","How much do you trust skincare recommendations from each of the following types of influencers?

(Please rate EACH influencer from 1 to 5) - Beauty Influencer","How much do you trust skincare recommendations from each of the following types of influencers?

(Please rate EACH influencer from 1 to 5) - Cosmetologist","How much do you trust skincare recommendations from each of the following types of influencers?

(Please rate EACH influencer from 1 to 5) - Dermatologist",How much does an influencer’s follower count impact your trust in their skincare recommendations?,"When an influencer offers a discount code for a skincare product, how does it impact your perception of its value?","To what extent do you agree with the following statement:

 ""Brands that maintain stable and predictable prices are more credible and reliable than those that frequently change their prices or heavily rely on discount promotions.""","Suppose you are comparing two skincare brands with different pricing strategies:

- Brand A always maintains stable and predictable prices.

- Brand B frequently changes its prices and offers regular discounts.



Please RATE your personal preference between the two brands on the following 7-point scale:

1 = Strong Preference for Brand A

7 = Strong Preference for Brand B - Based on the descriptions above, which brand do you associate with being more consistent, credible, and having a stronger reputation in the long term?",What is your Gender?,What is your Age Group?,What is your Nationality?,What is your current Occupation?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID12""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID34""}","{""ImportId"":""QID32""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29""}","{""ImportId"":""QID28""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}"
2025-06-13 17:59:02,2025-06-13 18:01:00,IP Address,194.34.233.30,100,117,True,2025-06-13 18:01:01,R_2NJK4NwUUGN9RXd,,,,,45.4722,9.1922,anonymous,EN,Yes,TikTok,5 = Very Frequently,5 = Very Frequently,4 = Frequently,3 = Sometimes,2 = Rarely,1 = Never,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,2,Female,18-24,Italian,Student
2025-06-15 22:16:50,2025-06-15 22:18:54,IP Address,194.34.233.36,100,123,True,2025-06-15 22:18:55,R_24IwqCSaZRvgmp4,,,,,45.4722,9.1922,anonymous,EN,Yes,TikTok,4 = Frequently,5 = Very Frequently,3 = Sometimes,1 = Never,4 = Frequently,3 = Sometimes,5 = Daily or more,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,4 = Very,3 = It does not change my perception of the product’s value,4 = Agree,3,Female,18-24,Italian,Student
2025-06-16 09:17:37,2025-06-16 10:59:30,IP Address,93.70.87.42,100,6113,True,2025-06-16 10:59:30,R_8wrsi2erL7fF71L,,,,,44.4847,11.328,anonymous,EN,Yes,Friends or family recommendation,2 = Rarely,2 = Rarely,1 = Never,1 = Never,4 = Frequently,3 = Sometimes,1 =  Never,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,2 = Slightly,4 = It makes me see the product as a good deal,4 = Agree,3,Male,18-24,Italian,Student
2025-06-16 13:52:56,2025-06-16 13:59:28,IP Address,151.34.224.187,100,392,True,2025-06-16 13:59:29,R_20vjVN7DiXARjTf,,,,,44.6534,10.9231,anonymous,EN,Yes,Friends or family recommendation,1 = Never,1 = Never,1 = Never,1 = Never,4 = Frequently,1 = Never,2 = Less than once a month,Brand A,Brand B,Brand B,Brand B,Brand B,Brand A,Brand A,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,3 = Moderately,2 = Slightly,2 = It makes me see the product as slightly less valuable,4 = Agree,3,Male,18-24,Italian,Student
2025-06-16 14:00:59,2025-06-16 14:05:17,IP Address,104.28.30.83,100,257,True,2025-06-16 14:05:17,R_8oClyhAqU2xDihW,,,,,51.9235,4.4813,anonymous,EN,Yes,TikTok,5 = Very Frequently,4 = Frequently,2 = Rarely,1 = Never,4 = Frequently,3 = Sometimes,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,3 = Moderately,2 = It makes me see the product as slightly less valuable,4 = Agree,3,Female,18-24,Italian,Student
2025-06-16 14:05:42,2025-06-16 14:09:25,IP Address,81.242.95.58,100,223,True,2025-06-16 14:09:25,R_2KqkRJZBxeT8urD,,,,,50.8534,4.347,anonymous,EN,Yes,Friends or family recommendation,4 = Frequently,4 = Frequently,2 = Rarely,2 = Rarely,5 = Very Frequently,5 = Very Frequently,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,2 = Slightly,5 = It makes me see the product as a great deal,4 = Agree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-16 14:07:11,2025-06-16 14:12:26,IP Address,78.211.87.42,100,314,True,2025-06-16 14:12:27,R_2jp6XClyZsDuKlG,,,,,43.1479,12.1097,anonymous,EN,Yes,Instagram,1 = Never,3 = Sometimes,1 = Never,1 = Never,4 = Frequently,1 = Never,4 = 1–2 times per week,Brand A,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,4 = Very,4 = Very,3 = Moderately,2 = It makes me see the product as slightly less valuable,1 = Strongly Disagree,2,Female,25-34,Turkish,Employed part-time
2025-06-16 14:13:07,2025-06-16 14:13:30,IP Address,87.13.223.154,100,22,True,2025-06-16 14:13:30,R_2CKgpC8mwGoezzf,,,,,44.2038,12.3987,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
