RespondentID,Task,Brand,Chosen,Influencer_Type,Platform,Follower_Count,Shared_pers_exp,Discount,choice,alt,id
R_2NJK4NwUUGN9RXd,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2NJK4NwUUGN9RXd_Q5
R_2NJK4NwUUGN9RXd,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2NJK4NwUUGN9RXd_Q5
R_24IwqCSaZRvgmp4,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_24IwqCSaZRvgmp4_Q5
R_24IwqCSaZRvgmp4,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_24IwqCSaZRvgmp4_Q5
R_8wrsi2erL7fF71L,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8wrsi2erL7fF71L_Q5
R_8wrsi2erL7fF71L,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8wrsi2erL7fF71L_Q5
R_20vjVN7DiXARjTf,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_20vjVN7DiXARjTf_Q5
R_20vjVN7DiXARjTf,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_20vjVN7DiXARjTf_Q5
R_8oClyhAqU2xDihW,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_8oClyhAqU2xDihW_Q5
R_8oClyhAqU2xDihW,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_8oClyhAqU2xDihW_Q5
R_2KqkRJZBxeT8urD,Q5,A,0,Cosmetologist,Instagram,195K,No,No,FALSE,A,R_2KqkRJZBxeT8urD_Q5
R_2KqkRJZBxeT8urD,Q5,B,1,Beauty Influence,Instagram,195K,Positive,10%,TRUE,B,R_2KqkRJZBxeT8urD_Q5
R_2jp6XClyZsDuKlG,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_2jp6XClyZsDuKlG_Q5
R_2jp6XClyZsDuKlG,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_2jp6XClyZsDuKlG_Q5
R_26bcqHV41wlcZ5T,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_26bcqHV41wlcZ5T_Q5
R_26bcqHV41wlcZ5T,Q5,B,0,Beauty Influence,Instagram,195K,Positive,10%,FALSE,B,R_26bcqHV41wlcZ5T_Q5
R_81z7WdyZXQ9Wbfb,Q5,A,1,Cosmetologist,Instagram,195K,No,No,TRUE,A,R_81z7WdyZXQ9Wbfb_Q5
